census,family,SDM_alpha,SR,DC
1,Capparaceae,1.565,1,2.796174496
2,Capparaceae,1.665,1,2.75380326
3,Capparaceae,1.694,1,2.660534293
4,Capparaceae,1.762,1,2.514498482
5,Capparaceae,1.812,1,2.373056988
6,Capparaceae,1.789,1,2.268844956
7,Capparaceae,1.837,1,2.135895561
8,Capparaceae,1.696,1,2.146709627
1,Rhizophoraceae,1.615,1,1.4693154
2,Rhizophoraceae,1.671,1,1.495313898
3,Rhizophoraceae,1.273,1,1.96408979
4,Rhizophoraceae,1.243,1,2.21220202
5,Rhizophoraceae,1.207,1,2.305804287
6,Rhizophoraceae,1.185,1,2.589151284
7,Rhizophoraceae,1.124,1,3.276871317
8,Rhizophoraceae,1.123,1,3.051003063
1,Urticaceae,0.216,4,2.710667235
2,Urticaceae,0.208,4,3.545183015
3,Urticaceae,0.192,4,2.60518929
4,Urticaceae,0.205,5,2.411096845
5,Urticaceae,0.128,5,10.3102114
6,Urticaceae,0.141,5,10.0623015
7,Urticaceae,0.203,5,5.122510222
8,Urticaceae,0.2,5,9.409241679
1,Meliaceae,1.621,6,8.549673271
2,Meliaceae,1.618,6,8.316006904
3,Meliaceae,1.639,6,8.122952356
4,Meliaceae,1.655,6,7.947321173
5,Meliaceae,1.605,6,7.864482282
6,Meliaceae,1.485,6,8.067465726
7,Meliaceae,1.426,6,7.87216882
8,Meliaceae,1.37,6,7.623347285
1,Cannabaceae,0.507,2,1.340700467
2,Cannabaceae,0.731,2,1.164721251
3,Cannabaceae,0.561,3,1.241463759
4,Cannabaceae,0.581,4,1.216345228
5,Cannabaceae,1.073,4,1.122058937
6,Cannabaceae,0.584,4,1.254350316
7,Cannabaceae,0.169,3,1.986881125
8,Cannabaceae,0.269,3,1.410605785
1,Ochnaceae,0.738,2,2.469657142
2,Ochnaceae,0.738,2,2.617826737
3,Ochnaceae,0.73,2,2.731254398
4,Ochnaceae,0.694,2,2.711561474
5,Ochnaceae,0.737,2,2.577850555
6,Ochnaceae,0.787,2,2.599840002
7,Ochnaceae,0.808,2,2.521169293
8,Ochnaceae,0.891,2,2.423033935
1,Solanaceae,0.386,6,1.578786071
2,Solanaceae,0.344,6,1.517796486
3,Solanaceae,0.345,5,1.300467535
4,Solanaceae,0.434,5,1.122570784
5,Solanaceae,0.281,4,1.173798298
6,Solanaceae,0.286,5,1.191911803
7,Solanaceae,0.235,5,1.336168935
8,Solanaceae,0.129,6,2.196162466
1,Myrtaceae,0.77,7,3.127358244
2,Myrtaceae,0.801,7,3.221021148
3,Myrtaceae,0.809,7,3.363325113
4,Myrtaceae,0.761,7,3.470598669
5,Myrtaceae,0.747,7,3.432587556
6,Myrtaceae,0.726,7,3.404595143
7,Myrtaceae,0.689,7,3.780654195
8,Myrtaceae,0.7,7,4.169966664
1,Clusiaceae,1.248,4,2.478346313
2,Clusiaceae,1.327,4,2.484326664
3,Clusiaceae,1.462,4,2.500900554
4,Clusiaceae,1.57,4,2.512299916
5,Clusiaceae,1.686,4,2.458803031
6,Clusiaceae,1.85,4,2.412050688
7,Clusiaceae,1.952,4,2.377209726
8,Clusiaceae,2.126,4,2.312133018
1,Sapotaceae,4.825,5,1.259884227
2,Sapotaceae,4.021,5,1.371364951
3,Sapotaceae,3.334,5,1.468523147
4,Sapotaceae,3.623,5,1.409098629
5,Sapotaceae,3.538,5,1.305243933
6,Sapotaceae,3.662,5,1.277111087
7,Sapotaceae,2.945,5,1.280412334
8,Sapotaceae,3.435,5,1.206955514
1,Melastomataceae,1.051,12,3.657201682
2,Melastomataceae,1.032,12,4.142647395
3,Melastomataceae,1.093,13,3.847827608
4,Melastomataceae,1.189,12,3.745437643
5,Melastomataceae,1.221,15,3.600774522
6,Melastomataceae,1.433,15,3.392808884
7,Melastomataceae,1.159,14,3.845465335
8,Melastomataceae,1.251,15,3.910472715
1,Cyatheaceae,0.004,1,1.995196157
2,Cyatheaceae,0.001,1,1.665599146
3,Cyatheaceae,0.488,1,1
1,Polygonaceae,0.654,3,1.463170536
2,Polygonaceae,0.712,3,1.482334189
3,Polygonaceae,0.781,3,1.394541222
4,Polygonaceae,0.734,3,1.393097457
5,Polygonaceae,0.773,3,1.294584054
6,Polygonaceae,0.704,3,1.278176132
7,Polygonaceae,0.597,3,1.283772904
8,Polygonaceae,0.617,3,1.293015699
1,Cordiaceae,1.476,3,1.923784087
2,Cordiaceae,1.378,3,1.880433053
3,Cordiaceae,1.119,3,2.211131962
4,Cordiaceae,1.219,3,2.046157002
5,Cordiaceae,1.238,3,1.866654686
6,Cordiaceae,1.169,3,1.879185088
7,Cordiaceae,1.159,3,1.816288997
8,Cordiaceae,1.063,3,1.793253448
1,Araliaceae,0.506,2,1.292051823
2,Araliaceae,0.464,2,1.282163619
3,Araliaceae,0.333,1,1.337514456
4,Araliaceae,0.303,1,1.295801554
5,Araliaceae,0.39,1,1.190396978
6,Araliaceae,0.366,1,1.180544436
7,Araliaceae,0.313,2,1.18694956
8,Araliaceae,0.254,1,1.206634873
1,Ebenaceae,0.84,1,1.043267267
2,Ebenaceae,0.381,1,1.102336415
3,Ebenaceae,0.236,1,1.19767927
4,Ebenaceae,0.283,1,1.18694956
5,Ebenaceae,0.281,1,1.203289905
6,Ebenaceae,0.273,1,1.240782099
7,Ebenaceae,0.453,1,1.173798298
8,Ebenaceae,0.753,1,1.12489992
1,Putranjivaceae,0.392,1,5.951854032
2,Putranjivaceae,0.39,1,6.115070148
3,Putranjivaceae,0.414,1,5.783445185
4,Putranjivaceae,0.426,1,5.353323838
5,Putranjivaceae,0.434,1,5.044231005
6,Putranjivaceae,0.443,1,4.8712015
7,Putranjivaceae,0.461,1,4.464141498
8,Putranjivaceae,0.465,1,4.326625803
1,Erythroxylaceae,5.922,2,1.041610859
2,Erythroxylaceae,4.042,2,1.028920698
3,Erythroxylaceae,1.919,2,1.128470503
4,Erythroxylaceae,1.429,2,1.181256694
5,Erythroxylaceae,1.32,2,1.198146957
6,Erythroxylaceae,1.26,2,1.147468402
7,Erythroxylaceae,1.397,2,1.156877139
8,Erythroxylaceae,1.688,2,1.135667154
1,Nyctaginaceae,0.773,2,1.258074036
2,Nyctaginaceae,0.903,2,1.191238705
3,Nyctaginaceae,0.963,2,1.146763565
4,Nyctaginaceae,1.045,2,1.117009737
5,Nyctaginaceae,0.795,2,1.134296911
6,Nyctaginaceae,0.946,2,1.125645344
7,Nyctaginaceae,0.904,2,1.120074041
8,Nyctaginaceae,0.999,2,1.087994566
1,Lecythidaceae,0.251,1,7.602087137
2,Lecythidaceae,0.212,1,7.762568001
3,Lecythidaceae,0.234,1,7.254894825
4,Lecythidaceae,0.222,1,7.254197782
5,Lecythidaceae,0.218,1,6.969356044
6,Lecythidaceae,0.219,1,6.762802875
7,Lecythidaceae,0.219,1,6.437878523
8,Lecythidaceae,0.229,1,6.111207529
1,Olacaceae,2.052,2,1.33859434
2,Olacaceae,1.908,2,1.376794433
3,Olacaceae,1.54,2,1.474951651
4,Olacaceae,1.578,2,1.474029547
5,Olacaceae,1.561,2,1.460861985
6,Olacaceae,1.557,2,1.445463583
7,Olacaceae,1.498,2,1.447571809
8,Olacaceae,1.476,2,1.431243546
1,Chrysobalanaceae,1.592,4,3.045650537
2,Chrysobalanaceae,1.58,4,3.308795572
3,Chrysobalanaceae,1.569,4,3.544308246
4,Chrysobalanaceae,1.59,4,3.502254191
5,Chrysobalanaceae,1.601,4,3.38016125
6,Chrysobalanaceae,1.58,4,3.264703453
7,Chrysobalanaceae,1.626,4,3.165178169
8,Chrysobalanaceae,1.596,4,3.085140772
1,Violaceae,0.619,2,10.84486275
2,Violaceae,0.626,2,10.91900588
3,Violaceae,0.637,2,10.46551799
4,Violaceae,0.659,2,10.05476106
5,Violaceae,0.661,2,9.921886608
6,Violaceae,0.663,2,9.821284453
7,Violaceae,0.668,2,9.653366001
8,Violaceae,0.674,2,9.896496134
1,Phyllanthaceae,0.681,2,1.109995689
2,Phyllanthaceae,0.659,2,1.129241855
3,Phyllanthaceae,0.443,2,1.183613558
4,Phyllanthaceae,0.404,2,1.231733213
5,Phyllanthaceae,0.361,2,1.183060028
6,Phyllanthaceae,0.338,2,1.18422094
7,Phyllanthaceae,0.207,2,1.571924206
8,Phyllanthaceae,0.208,2,1.554500743
1,Bignoniaceae,0.537,3,1.549134246
2,Bignoniaceae,0.579,3,1.496153797
3,Bignoniaceae,0.495,3,1.554991883
4,Bignoniaceae,0.492,3,1.455332755
5,Bignoniaceae,0.499,3,1.382997055
6,Bignoniaceae,0.386,3,1.514036014
7,Bignoniaceae,0.364,3,1.646347848
8,Bignoniaceae,0.4,3,1.520472879
1,Lacistemataceae,1.717,2,1.878139671
2,Lacistemataceae,1.833,2,1.909672156
