"","x1","y1","x2","y2","SDI1","SDI2","SDI3","SDI4","SDI5","SDI6","SDI7","SDI8","ID"
"36",700,0,720,20,573.097988350097,747.742046134123,710.953023236652,670.107786186863,695.069752734398,585.784892480103,585.906688614885,553.392901929448,36
"37",720,0,740,20,1247.07322769583,874.920319548261,686.315302306633,741.771580097353,795.299147478642,821.706386330684,827.994006011253,935.529785798457,37
"38",740,0,760,20,745.755885502027,559.067379924373,706.315367440669,452.637251800657,495.339374640959,481.950924240231,485.466931215328,534.096485567266,38
"39",760,0,780,20,312.299401373633,371.788000421297,359.244452516175,363.44120578206,398.028950633091,329.219802132599,314.415650041111,307.220765879894,39
"40",780,0,800,20,809.60049887225,984.238458261341,855.629776198792,730.800961165805,679.405051974829,682.115424382445,409.133207362173,307.749185958376,40
"41",800,0,820,20,457.128209224101,456.95751348974,428.310027771378,388.819185194208,415.469423829881,447.219100574365,524.534155758778,580.585154110056,41
"42",820,0,840,20,995.026885479612,473.580896870528,505.647466282647,493.6961954374,523.979434622228,449.275703607491,360.01061758867,404.186543879674,42
"43",840,0,860,20,535.762965821156,577.008347485237,644.293174192365,633.106509827165,603.439725760916,643.708567421312,590.210395746368,601.878684929075,43
"44",860,0,880,20,469.303276429954,484.562004398893,411.992821253589,428.307801891188,454.923317969488,424.168043781775,450.521833035135,546.15203901729,44
"45",880,0,900,20,351.597727018189,397.513918854579,436.555941493212,442.782784128875,496.460325930134,508.341744460436,516.991015680499,426.998972183994,45
"46",900,0,920,20,1133.36365371712,810.452263356116,945.833359303908,366.438069745889,433.614904338095,446.040677862181,407.875067608014,305.40714134524,46
"47",920,0,940,20,533.3817604885,464.791508242631,498.51285272727,514.17231866464,561.828126351921,539.557758721829,548.880510611236,605.327877804062,47
"48",940,0,960,20,353.611762538644,361.657537389763,419.949622527055,432.637346881763,457.829651219478,438.903240411938,461.891420263845,515.40244512535,48
"49",960,0,980,20,847.609794358806,905.457800866374,891.883099389235,839.485240162388,870.71971127371,543.001358425762,633.90891515965,618.328814851737,49
"50",980,0,1000,20,461.275863848461,486.947859669559,536.411348925101,525.509505794038,524.676347233309,458.591132581488,554.965651393228,559.2441487832,50
"51",0,20,20,40,383.266682057516,444.801441561685,503.013754542439,524.533895815019,457.702212383633,472.981476910057,538.813988960069,606.501499338557,51
"52",20,20,40,40,368.934600358826,406.480000662006,396.998517722765,408.841066993601,448.905720193929,497.381513559807,363.239444861709,358.682753597597,52
"53",40,20,60,40,743.167105827761,736.371025932855,778.937543853714,795.292721076843,443.789758619502,468.960214324903,413.035742296211,414.133643603682,53
"54",60,20,80,40,493.251725895332,493.145962142023,527.874600519295,466.369146386268,504.590605216023,515.333874708727,518.523850441233,576.724980209013,54
"55",80,20,100,40,819.436058297246,889.442847780477,852.726693543962,883.149045274268,893.104638408249,916.711192832191,856.909883652546,952.423636692059,55
